2017_05_26 09:21:29 INFO    云主机ubfoxpshr创建成功
2017_05_26 09:22:30 INFO    End case: create vm name: ubfoxpshr success

2017_05_26 09:22:33 INFO    enter vm management
2017_05_26 09:22:33 INFO    Begin case: stop vm ubfoxpshr
2017_05_26 09:22:37 INFO    VM ubfoxpshr is stoping
2017_05_26 09:22:50 INFO    云主机ubfoxpshr停止成功
2017_05_26 09:22:50 INFO    End case: stop vm ubfoxpshr

2017_05_26 09:22:50 INFO    Begin case: start vm ubfoxpshr
2017_05_26 09:22:54 INFO    VM ubfoxpshr is starting!
2017_05_26 09:23:12 INFO    云主机ubfoxpshr启动成功
2017_05_26 09:23:12 INFO    End case: start vm ubfoxpshr

2017_05_26 09:23:12 INFO    Begin case: restart vm ubfoxpshr
2017_05_26 09:23:16 INFO    VM ubfoxpshr is restarting
2017_05_26 09:23:44 INFO    云主机ubfoxpshr重启成功
2017_05_26 09:23:44 INFO    End case: restart vm ubfoxpshr

2017_05_26 09:23:44 INFO    Begin case: security management vm ubfoxpshr
2017_05_26 09:23:48 INFO    VM ubfoxpshr 查看密钥
2017_05_26 09:23:51 INFO    End case: security management vm ubfoxpshr

2017_05_26 09:23:54 INFO    Begin case: create disk data0526092354
2017_05_26 09:24:01 INFO    云磁盘data0526092354创建成功
2017_05_26 09:24:01 INFO    End case: create disk data0526092354

2017_05_26 09:24:01 INFO    Begin case:mount disk data0526092354
2017_05_26 09:24:15 INFO    挂载成功
2017_05_26 09:24:16 INFO    End case:mount disk data0526092354

2017_05_26 09:24:16 INFO    Begin case:unmount disk data0526092354
2017_05_26 09:24:16 WARNING VM status is 运行,can not create snapshot,so stop vm first!
2017_05_26 09:24:19 INFO    enter vm management
2017_05_26 09:24:19 INFO    Begin case: stop vm ubfoxpshr
2017_05_26 09:24:23 INFO    VM ubfoxpshr is stoping
2017_05_26 09:24:41 INFO    云主机ubfoxpshr停止成功
2017_05_26 09:24:41 INFO    End case: stop vm ubfoxpshr

2017_05_26 09:24:49 INFO    卸载云磁盘成功
2017_05_26 09:24:50 INFO    End case:unmount disk data0526092354

2017_05_26 09:24:50 INFO    Begin case:disk data0526092354 create snapshot 
2017_05_26 09:25:09 INFO    云磁盘data0526092354创建快照成功
2017_05_26 09:25:11 INFO    snapshot name : detached_data0526092354_20170526012453
2017_05_26 09:25:11 INFO    End case:disk data0526092354 create snapshot 

2017_05_26 09:25:11 INFO    Begin case:delete snapshot  detached_data0526092354_20170526012453 
2017_05_26 09:25:17 INFO    成功删除快照
2017_05_26 09:25:17 INFO    End case: delete snapshot detached_data0526092354_20170526012453

2017_05_26 09:25:17 INFO    Begin case:delete disk data0526092354 
2017_05_26 09:25:22 INFO    云磁盘data0526092354删除成功
2017_05_26 09:25:22 INFO    End case: delete disk data0526092354

2017_05_26 09:25:25 INFO    enter vm management
2017_05_26 09:25:25 INFO    Begin case: delete vm ubfoxpshr
2017_05_26 09:25:44 INFO    云主机ubfoxpshr删除成功
2017_05_26 09:25:44 INFO    End case: delete vm ubfoxpshr

2017_05_26 09:29:16 INFO    Begin case: create vm, name is: wxdweillkxtvkc.
2017_05_26 09:29:19 INFO    Begin case: create vm, name is: hekrtevvpsg.
2017_05_26 09:29:27 INFO    Begin case: create vm, name is: camkeazxbfvjmdkf.
2017_05_26 09:30:45 INFO    云主机wxdweillkxtvkc创建成功
2017_05_26 09:30:46 INFO    End case: create vm name: wxdweillkxtvkc success

2017_05_26 09:30:49 INFO    enter vm management
2017_05_26 09:30:49 INFO    Begin case: stop vm wxdweillkxtvkc
2017_05_26 09:30:52 INFO    云主机camkeazxbfvjmdkf创建成功
2017_05_26 09:30:52 INFO    End case: create vm name: camkeazxbfvjmdkf success

2017_05_26 09:30:53 INFO    VM wxdweillkxtvkc is stoping
2017_05_26 09:30:56 INFO    enter vm management
2017_05_26 09:30:56 INFO    Begin case: stop vm camkeazxbfvjmdkf
2017_05_26 09:31:00 INFO    VM camkeazxbfvjmdkf is stoping
2017_05_26 09:31:02 INFO    云主机hekrtevvpsg创建成功
2017_05_26 09:31:04 INFO    End case: create vm name: hekrtevvpsg success

2017_05_26 09:31:06 INFO    云主机wxdweillkxtvkc停止成功
2017_05_26 09:31:06 INFO    End case: stop vm wxdweillkxtvkc

2017_05_26 09:31:06 INFO    Begin case: start vm wxdweillkxtvkc
2017_05_26 09:31:07 INFO    enter vm management
2017_05_26 09:31:07 INFO    Begin case: stop vm hekrtevvpsg
2017_05_26 09:31:11 INFO    VM hekrtevvpsg is stoping
2017_05_26 09:31:13 INFO    云主机camkeazxbfvjmdkf停止成功
2017_05_26 09:31:13 INFO    End case: stop vm camkeazxbfvjmdkf

2017_05_26 09:31:13 INFO    Begin case: start vm camkeazxbfvjmdkf
2017_05_26 09:31:24 INFO    云主机hekrtevvpsg停止成功
2017_05_26 09:31:24 INFO    End case: stop vm hekrtevvpsg

2017_05_26 09:31:24 INFO    Begin case: start vm hekrtevvpsg
2017_05_26 09:31:28 INFO    VM hekrtevvpsg is starting!
2017_05_26 09:31:51 INFO    云主机hekrtevvpsg启动成功
2017_05_26 09:31:51 INFO    End case: start vm hekrtevvpsg

2017_05_26 09:31:51 INFO    Begin case: restart vm hekrtevvpsg
2017_05_26 09:31:55 INFO    VM hekrtevvpsg is restarting
2017_05_26 09:32:23 INFO    云主机hekrtevvpsg重启成功
2017_05_26 09:32:23 INFO    End case: restart vm hekrtevvpsg

2017_05_26 09:32:23 INFO    Begin case: security management vm hekrtevvpsg
2017_05_26 09:32:27 INFO    VM hekrtevvpsg 查看密钥
2017_05_26 09:32:30 INFO    End case: security management vm hekrtevvpsg

2017_05_26 09:32:33 INFO    Begin case: create disk data0526093233
2017_05_26 09:32:41 INFO    云磁盘data0526093233创建成功
2017_05_26 09:32:41 INFO    End case: create disk data0526093233

2017_05_26 09:32:41 INFO    Begin case:mount disk data0526093233
2017_05_26 09:32:50 INFO    挂载成功
2017_05_26 09:32:50 INFO    End case:mount disk data0526093233

2017_05_26 09:32:50 INFO    Begin case:unmount disk data0526093233
2017_05_26 09:32:50 WARNING VM status is 运行,can not create snapshot,so stop vm first!
2017_05_26 09:32:53 INFO    enter vm management
2017_05_26 09:32:53 INFO    Begin case: stop vm hekrtevvpsg
2017_05_26 09:32:57 INFO    VM hekrtevvpsg is stoping
2017_05_26 09:33:15 INFO    云主机hekrtevvpsg停止成功
2017_05_26 09:33:15 INFO    End case: stop vm hekrtevvpsg

2017_05_26 09:33:24 INFO    卸载云磁盘成功
2017_05_26 09:33:24 INFO    End case:unmount disk data0526093233

